params_id,dataset,algorithm,f1,precision,recall,support,predicted,files,estimator,smoothing,period,s_w,p_w,half_d_w,q,delay,errors
S2P60_SW3_Q0.0045,Prometheus 27 指标,FluxEV,0.46749603610196366,0.6332397158433835,0.3705171580473659,10345,6053,27,MOM,2,60,3,5,2,0.0045,7,0
S2P60_SW3_Q0.005,JMeter,FluxEV,0.4324301861702128,0.710792349726776,0.31073817486860966,16744,7320,7,MOM,2,60,3,5,2,0.005,7,0
S2P60_SW3_Q0.005,Prometheus 27 指标,FluxEV,0.46610324071259196,0.6281547033759424,0.3705171580473659,10345,6102,27,MOM,2,60,3,5,2,0.005,7,0
S2P60_SW4_Q0.002,JMeter,FluxEV,0.1840537319900336,0.9889406286379511,0.10146918299092213,16744,1718,7,MOM,2,60,4,5,2,0.002,7,0
S2P60_SW4_Q0.002,Prometheus 27 指标,FluxEV,0.5097176904525464,0.9573674393818279,0.3473175447075882,10345,3753,27,MOM,2,60,4,5,2,0.002,7,0
S2P60_SW4_Q0.0025,JMeter,FluxEV,0.20729099850331412,0.9872708757637475,0.11580267558528429,16744,1964,7,MOM,2,60,4,5,2,0.0025,7,0
S2P60_SW4_Q0.0025,Prometheus 27 指标,FluxEV,0.5084553880987759,0.9485216473072862,0.3473175447075882,10345,3788,27,MOM,2,60,4,5,2,0.0025,7,0
S2P60_SW4_Q0.003,JMeter,FluxEV,0.20722453777920274,0.984263959390863,0.11580267558528429,16744,1970,7,MOM,2,60,4,5,2,0.003,7,0
S2P60_SW4_Q0.003,Prometheus 27 指标,FluxEV,0.5067700987306064,0.936897001303781,0.3473175447075882,10345,3835,27,MOM,2,60,4,5,2,0.003,7,0
S2P60_SW4_Q0.0035,JMeter,FluxEV,0.20720239367386192,0.9832657200811359,0.11580267558528429,16744,1972,7,MOM,2,60,4,5,2,0.0035,7,0
S2P60_SW4_Q0.0035,Prometheus 27 指标,FluxEV,0.48208774989936937,0.7877658408243806,0.3473175447075882,10345,4561,27,MOM,2,60,4,5,2,0.0035,7,0
S2P60_SW4_Q0.004,JMeter,FluxEV,0.22918645140867364,0.9828054298642533,0.12971810797897754,16744,2210,7,MOM,2,60,4,5,2,0.004,7,0
S2P60_SW4_Q0.004,Prometheus 27 指标,FluxEV,0.48105502744678,0.7822773786196385,0.3473175447075882,10345,4593,27,MOM,2,60,4,5,2,0.004,7,0
S2P60_SW4_Q0.0045,JMeter,FluxEV,0.2506252605252189,0.9824346405228758,0.14363354037267081,16744,2448,7,MOM,2,60,4,5,2,0.0045,7,0
S2P60_SW4_Q0.0045,Prometheus 27 指标,FluxEV,0.4796742540551364,0.7750215703192407,0.3473175447075882,10345,4636,27,MOM,2,60,4,5,2,0.0045,7,0
S2P60_SW4_Q0.005,JMeter,FluxEV,0.33305298570227077,0.7651352511807643,0.21285236502627808,16744,4658,7,MOM,2,60,4,5,2,0.005,7,0
